horizon,model_baseline,mae_baseline,rmse_baseline,model_xgboost,mae_xgboost,rmse_xgboost,rmse_improvement_pct,mae_improvement_pct,winner
1,baseline_linear,0.47046417116660333,0.5522303595730502,xgboost,0.3195013628379412,0.3879296705587769,29.752201443850403,32.0880563453582,xgboost
2,baseline_linear,0.48080853341175955,0.5646640105517668,xgboost,0.3550331709311986,0.42562043867740146,24.624125015245372,26.159136899687297,xgboost
3,baseline_linear,0.5999681311203884,0.695105093200989,xgboost,0.3998594163354521,0.475956759942757,31.527366926495166,33.353224013957316,xgboost
4,baseline_linear,0.6213327531768725,0.7191288239787625,xgboost,0.44285069870112775,0.5240936491361434,27.12103427638147,28.725679366356683,xgboost
5,baseline_linear,0.7182854982706215,0.8288699140458252,xgboost,0.4586782287730359,0.5424444190339305,34.55614568199411,36.142629932335886,xgboost
6,baseline_linear,0.8159590045431487,0.9374703677254506,xgboost,0.5335858643814279,0.6183507369268209,34.040503229227156,34.606290094172095,xgboost
7,baseline_linear,0.9087334746672556,1.0316713903483097,xgboost,0.5737764327657987,0.6637320270073744,35.664395347506215,36.85976705371239,xgboost
